party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent
S&D,118525,RPS,2020-10-07T20:01:49,141,0,1,3,142,FOR,141,0.007042253521126751
ECR,118526,INI,2020-10-07T20:01:49,55,4,2,1,61,FOR,55,0.09836065573770492
EPP,118526,INI,2020-10-07T20:01:49,176,4,6,1,186,FOR,176,0.053763440860215006
GUE/NGL,118526,INI,2020-10-07T20:01:49,0,39,0,0,39,AGAINST,39,0.0
Greens/EFA,118526,INI,2020-10-07T20:01:49,2,64,1,1,67,AGAINST,64,0.04477611940298509
ID,118526,INI,2020-10-07T20:01:49,3,41,30,1,74,AGAINST,41,0.44594594594594594
Non-attached,118526,INI,2020-10-07T20:01:49,12,15,2,1,29,AGAINST,15,0.48275862068965514
Renew,118526,INI,2020-10-07T20:01:49,92,3,3,0,98,FOR,92,0.061224489795918324
S&D,118526,INI,2020-10-07T20:01:49,122,6,15,2,143,FOR,122,0.14685314685314688
ECR,118582,RSP,2020-10-08T11:33:20,2,59,1,0,62,AGAINST,59,0.048387096774193505
EPP,118582,RSP,2020-10-08T11:33:20,3,183,0,1,186,AGAINST,183,0.016129032258064502
GUE/NGL,118582,RSP,2020-10-08T11:33:20,38,0,1,0,39,FOR,38,0.02564102564102566
Greens/EFA,118582,RSP,2020-10-08T11:33:20,0,66,1,2,67,AGAINST,66,0.014925373134328401
ID,118582,RSP,2020-10-08T11:33:20,23,45,5,2,73,AGAINST,45,0.3835616438356164
Non-attached,118582,RSP,2020-10-08T11:33:20,8,4,17,1,29,ABSTENTION,17,0.4137931034482759
Renew,118582,RSP,2020-10-08T11:33:20,3,94,0,1,97,AGAINST,94,0.030927835051546393
S&D,118582,RSP,2020-10-08T11:33:20,10,130,0,5,140,AGAINST,130,0.0714285714285714
ECR,118627,RSP,2020-10-08T15:53:46,1,50,9,2,60,AGAINST,50,0.16666666666666663
EPP,118627,RSP,2020-10-08T15:53:46,6,156,23,2,185,AGAINST,156,0.1567567567567567
GUE/NGL,118627,RSP,2020-10-08T15:53:46,37,0,2,0,39,FOR,37,0.05128205128205132
Greens/EFA,118627,RSP,2020-10-08T15:53:46,66,0,0,3,66,FOR,66,0.0
ID,118627,RSP,2020-10-08T15:53:46,0,68,6,1,74,AGAINST,68,0.08108108108108103
Non-attached,118627,RSP,2020-10-08T15:53:46,22,3,3,2,28,FOR,22,0.2142857142857143
Renew,118627,RSP,2020-10-08T15:53:46,86,0,12,0,98,FOR,86,0.12244897959183676
S&D,118627,RSP,2020-10-08T15:53:46,140,0,1,4,141,FOR,140,0.007092198581560294
ECR,118628,INL,2020-10-08T15:53:46,12,3,46,1,61,ABSTENTION,46,0.24590163934426235
EPP,118628,INL,2020-10-08T15:53:46,185,0,0,2,185,FOR,185,0.0
GUE/NGL,118628,INL,2020-10-08T15:53:46,2,29,8,0,39,AGAINST,29,0.2564102564102564
Greens/EFA,118628,INL,2020-10-08T15:53:46,63,3,0,3,66,FOR,63,0.045454545454545414
ID,118628,INL,2020-10-08T15:53:46,22,22,30,1,74,ABSTENTION,30,0.5945945945945945
Non-attached,118628,INL,2020-10-08T15:53:46,18,6,5,1,29,FOR,18,0.3793103448275862
Renew,118628,INL,2020-10-08T15:53:46,98,0,0,0,98,FOR,98,0.0
S&D,118628,INL,2020-10-08T15:53:46,142,0,0,3,142,FOR,142,0.0
ECR,118629,INI,2020-10-08T15:53:46,7,6,48,1,61,ABSTENTION,48,0.21311475409836067
EPP,118629,INI,2020-10-08T15:53:46,181,0,4,2,185,FOR,181,0.021621621621621623
GUE/NGL,118629,INI,2020-10-08T15:53:46,0,39,0,0,39,AGAINST,39,0.0
Greens/EFA,118629,INI,2020-10-08T15:53:46,2,63,1,3,66,AGAINST,63,0.045454545454545414
ID,118629,INI,2020-10-08T15:53:46,0,72,2,1,74,AGAINST,72,0.027027027027026973
Non-attached,118629,INI,2020-10-08T15:53:46,2,25,2,1,29,AGAINST,25,0.13793103448275867
Renew,118629,INI,2020-10-08T15:53:46,89,0,9,0,98,FOR,89,0.09183673469387754
S&D,118629,INI,2020-10-08T15:53:46,136,0,6,3,142,FOR,136,0.04225352112676062
ECR,118630,RSP,2020-10-08T15:53:46,42,18,1,1,61,FOR,42,0.3114754098360656
EPP,118630,RSP,2020-10-08T15:53:46,177,7,1,2,185,FOR,177,0.043243243243243246
GUE/NGL,118630,RSP,2020-10-08T15:53:46,37,0,2,0,39,FOR,37,0.05128205128205132
Greens/EFA,118630,RSP,2020-10-08T15:53:46,66,0,0,3,66,FOR,66,0.0
ID,118630,RSP,2020-10-08T15:53:46,1,44,29,1,74,AGAINST,44,0.4054054054054054
Non-attached,118630,RSP,2020-10-08T15:53:46,23,4,2,1,29,FOR,23,0.2068965517241379
Renew,118630,RSP,2020-10-08T15:53:46,86,4,8,0,98,FOR,86,0.12244897959183676
S&D,118630,RSP,2020-10-08T15:53:46,142,0,0,3,142,FOR,142,0.0
ECR,118631,RSP,2020-10-08T15:53:46,58,0,3,1,61,FOR,58,0.049180327868852514
EPP,118631,RSP,2020-10-08T15:53:46,185,0,0,2,185,FOR,185,0.0
GUE/NGL,118631,RSP,2020-10-08T15:53:46,36,0,3,0,39,FOR,36,0.07692307692307687
Greens/EFA,118631,RSP,2020-10-08T15:53:46,67,0,0,2,67,FOR,67,0.0
