party,vote_id,procedure_type,timestamp,num_for,num_against,num_abstention,num_no_votes,total_votes,majority_col,majority_votes,percent_dissent
ECR,131708,RSP,2021-05-19T22:33:43,9,4,48,1,61,ABSTENTION,48,0.21311475409836067
EPP,131708,RSP,2021-05-19T22:33:43,55,33,85,5,173,ABSTENTION,85,0.5086705202312138
GUE/NGL,131708,RSP,2021-05-19T22:33:43,38,0,0,1,38,FOR,38,0.0
Greens/EFA,131708,RSP,2021-05-19T22:33:43,73,0,0,0,73,FOR,73,0.0
ID,131708,RSP,2021-05-19T22:33:43,53,13,7,0,73,FOR,53,0.273972602739726
Non-attached,131708,RSP,2021-05-19T22:33:43,19,13,4,1,36,FOR,19,0.4722222222222222
Renew,131708,RSP,2021-05-19T22:33:43,79,0,18,0,97,FOR,79,0.18556701030927836
S&D,131708,RSP,2021-05-19T22:33:43,142,0,0,4,142,FOR,142,0.0
ECR,131710,INI,2021-05-19T15:37:44,6,33,23,0,62,AGAINST,33,0.467741935483871
EPP,131710,INI,2021-05-19T15:37:44,174,0,0,4,174,FOR,174,0.0
GUE/NGL,131710,INI,2021-05-19T15:37:44,22,3,13,1,38,FOR,22,0.42105263157894735
Greens/EFA,131710,INI,2021-05-19T15:37:44,72,0,0,1,72,FOR,72,0.0
ID,131710,INI,2021-05-19T15:37:44,1,72,0,0,73,AGAINST,72,0.013698630136986356
Non-attached,131710,INI,2021-05-19T15:37:44,27,3,6,1,36,FOR,27,0.25
Renew,131710,INI,2021-05-19T15:37:44,97,0,0,0,97,FOR,97,0.0
S&D,131710,INI,2021-05-19T15:37:44,143,0,0,3,143,FOR,143,0.0
ECR,131711,INI,2021-05-19T15:37:44,3,8,51,0,62,ABSTENTION,51,0.17741935483870963
EPP,131711,INI,2021-05-19T15:37:44,174,0,0,4,174,FOR,174,0.0
GUE/NGL,131711,INI,2021-05-19T15:37:44,0,2,36,1,38,ABSTENTION,36,0.052631578947368474
Greens/EFA,131711,INI,2021-05-19T15:37:44,0,72,0,1,72,AGAINST,72,0.0
ID,131711,INI,2021-05-19T15:37:44,4,46,23,0,73,AGAINST,46,0.36986301369863017
Non-attached,131711,INI,2021-05-19T15:37:44,28,3,5,1,36,FOR,28,0.2222222222222222
Renew,131711,INI,2021-05-19T15:37:44,66,2,29,0,97,FOR,66,0.31958762886597936
S&D,131711,INI,2021-05-19T15:37:44,136,2,5,3,143,FOR,136,0.04895104895104896
ECR,131712,INI,2021-05-19T15:37:44,0,59,3,0,62,AGAINST,59,0.048387096774193505
EPP,131712,INI,2021-05-19T15:37:44,22,148,4,4,174,AGAINST,148,0.14942528735632188
GUE/NGL,131712,INI,2021-05-19T15:37:44,33,1,4,1,38,FOR,33,0.13157894736842102
Greens/EFA,131712,INI,2021-05-19T15:37:44,73,0,0,0,73,FOR,73,0.0
ID,131712,INI,2021-05-19T15:37:44,0,73,0,0,73,AGAINST,73,0.0
Non-attached,131712,INI,2021-05-19T15:37:44,11,19,6,1,36,AGAINST,19,0.4722222222222222
Renew,131712,INI,2021-05-19T15:37:44,82,9,6,0,97,FOR,82,0.15463917525773196
S&D,131712,INI,2021-05-19T15:37:44,137,0,3,6,140,FOR,137,0.021428571428571463
ECR,131713,INI,2021-05-19T15:37:44,5,7,49,1,61,ABSTENTION,49,0.19672131147540983
EPP,131713,INI,2021-05-19T15:37:44,150,10,14,4,174,FOR,150,0.13793103448275867
GUE/NGL,131713,INI,2021-05-19T15:37:44,6,1,31,1,38,ABSTENTION,31,0.1842105263157895
Greens/EFA,131713,INI,2021-05-19T15:37:44,73,0,0,0,73,FOR,73,0.0
ID,131713,INI,2021-05-19T15:37:44,2,44,27,0,73,AGAINST,44,0.3972602739726028
Non-attached,131713,INI,2021-05-19T15:37:44,15,2,19,1,36,ABSTENTION,19,0.4722222222222222
Renew,131713,INI,2021-05-19T15:37:44,92,0,5,0,97,FOR,92,0.05154639175257736
S&D,131713,INI,2021-05-19T15:37:44,137,0,5,4,142,FOR,137,0.035211267605633756
ECR,131714,INI,2021-05-19T15:37:44,55,6,1,0,62,FOR,55,0.11290322580645162
EPP,131714,INI,2021-05-19T15:37:44,166,8,0,4,174,FOR,166,0.04597701149425293
GUE/NGL,131714,INI,2021-05-19T15:37:44,7,3,28,1,38,ABSTENTION,28,0.26315789473684215
Greens/EFA,131714,INI,2021-05-19T15:37:44,72,0,1,0,73,FOR,72,0.013698630136986356
ID,131714,INI,2021-05-19T15:37:44,27,45,1,0,73,AGAINST,45,0.3835616438356164
Non-attached,131714,INI,2021-05-19T15:37:44,28,4,3,2,35,FOR,28,0.19999999999999996
Renew,131714,INI,2021-05-19T15:37:44,97,0,0,0,97,FOR,97,0.0
S&D,131714,INI,2021-05-19T15:37:44,143,0,0,3,143,FOR,143,0.0
ECR,131715,INI,2021-05-19T15:37:44,2,17,43,0,62,ABSTENTION,43,0.30645161290322576
EPP,131715,INI,2021-05-19T15:37:44,152,2,20,4,174,FOR,152,0.12643678160919536
GUE/NGL,131715,INI,2021-05-19T15:37:44,34,0,3,2,37,FOR,34,0.08108108108108103
Greens/EFA,131715,INI,2021-05-19T15:37:44,73,0,0,0,73,FOR,73,0.0
ID,131715,INI,2021-05-19T15:37:44,0,72,1,0,73,AGAINST,72,0.013698630136986356
Non-attached,131715,INI,2021-05-19T15:37:44,29,5,2,1,36,FOR,29,0.19444444444444442
Renew,131715,INI,2021-05-19T15:37:44,88,1,8,0,97,FOR,88,0.09278350515463918
S&D,131715,INI,2021-05-19T15:37:44,140,0,0,6,140,FOR,140,0.0
ECR,131764,RSP,2021-05-20T15:56:55,25,24,11,1,60,FOR,25,0.5833333333333333
EPP,131764,RSP,2021-05-20T15:56:55,173,0,1,4,174,FOR,173,0.005747126436781658
GUE/NGL,131764,RSP,2021-05-20T15:56:55,34,0,3,2,37,FOR,34,0.08108108108108103
Greens/EFA,131764,RSP,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131764,RSP,2021-05-20T15:56:55,55,3,14,1,72,FOR,55,0.23611111111111116
Non-attached,131764,RSP,2021-05-20T15:56:55,17,0,18,2,35,ABSTENTION,18,0.48571428571428577
Renew,131764,RSP,2021-05-20T15:56:55,92,0,4,2,96,FOR,92,0.04166666666666663
S&D,131764,RSP,2021-05-20T15:56:55,138,0,3,5,141,FOR,138,0.021276595744680882
ECR,131765,RSP,2021-05-20T15:56:55,57,0,4,0,61,FOR,57,0.06557377049180324
EPP,131765,RSP,2021-05-20T15:56:55,175,0,0,3,175,FOR,175,0.0
GUE/NGL,131765,RSP,2021-05-20T15:56:55,33,0,4,2,37,FOR,33,0.10810810810810811
Greens/EFA,131765,RSP,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131765,RSP,2021-05-20T15:56:55,31,23,18,1,72,FOR,31,0.5694444444444444
Non-attached,131765,RSP,2021-05-20T15:56:55,31,0,5,1,36,FOR,31,0.13888888888888884
Renew,131765,RSP,2021-05-20T15:56:55,96,0,0,2,96,FOR,96,0.0
S&D,131765,RSP,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131766,RSP,2021-05-20T15:56:55,58,0,3,0,61,FOR,58,0.049180327868852514
EPP,131766,RSP,2021-05-20T15:56:55,175,0,0,3,175,FOR,175,0.0
GUE/NGL,131766,RSP,2021-05-20T15:56:55,34,0,3,2,37,FOR,34,0.08108108108108103
Greens/EFA,131766,RSP,2021-05-20T15:56:55,72,1,0,0,73,FOR,72,0.013698630136986356
ID,131766,RSP,2021-05-20T15:56:55,28,26,18,1,72,FOR,28,0.6111111111111112
Non-attached,131766,RSP,2021-05-20T15:56:55,31,0,5,1,36,FOR,31,0.13888888888888884
Renew,131766,RSP,2021-05-20T15:56:55,94,0,2,2,96,FOR,94,0.02083333333333337
S&D,131766,RSP,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131767,COD,2021-05-20T15:56:55,1,10,50,0,61,ABSTENTION,50,0.180327868852459
EPP,131767,COD,2021-05-20T15:56:55,174,0,1,3,175,FOR,174,0.005714285714285672
GUE/NGL,131767,COD,2021-05-20T15:56:55,37,0,0,2,37,FOR,37,0.0
Greens/EFA,131767,COD,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131767,COD,2021-05-20T15:56:55,0,50,22,1,72,AGAINST,50,0.3055555555555556
Non-attached,131767,COD,2021-05-20T15:56:55,29,2,5,1,36,FOR,29,0.19444444444444442
Renew,131767,COD,2021-05-20T15:56:55,96,0,0,2,96,FOR,96,0.0
S&D,131767,COD,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131769,RSP,2021-05-20T15:56:55,58,0,1,2,59,FOR,58,0.016949152542372836
EPP,131769,RSP,2021-05-20T15:56:55,175,0,0,3,175,FOR,175,0.0
GUE/NGL,131769,RSP,2021-05-20T15:56:55,8,10,19,2,37,ABSTENTION,19,0.4864864864864865
Greens/EFA,131769,RSP,2021-05-20T15:56:55,72,1,0,0,73,FOR,72,0.013698630136986356
ID,131769,RSP,2021-05-20T15:56:55,37,3,32,1,72,FOR,37,0.48611111111111116
Non-attached,131769,RSP,2021-05-20T15:56:55,16,16,4,1,36,FOR,16,0.5555555555555556
Renew,131769,RSP,2021-05-20T15:56:55,96,0,0,2,96,FOR,96,0.0
S&D,131769,RSP,2021-05-20T15:56:55,137,0,2,7,139,FOR,137,0.014388489208633115
ECR,131770,RSP,2021-05-20T15:56:55,3,0,58,0,61,ABSTENTION,58,0.049180327868852514
EPP,131770,RSP,2021-05-20T15:56:55,170,0,5,3,175,FOR,170,0.02857142857142858
GUE/NGL,131770,RSP,2021-05-20T15:56:55,35,0,2,2,37,FOR,35,0.05405405405405406
Greens/EFA,131770,RSP,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131770,RSP,2021-05-20T15:56:55,10,1,61,1,72,ABSTENTION,61,0.1527777777777778
Non-attached,131770,RSP,2021-05-20T15:56:55,19,0,17,1,36,FOR,19,0.4722222222222222
Renew,131770,RSP,2021-05-20T15:56:55,88,0,8,2,96,FOR,88,0.08333333333333337
S&D,131770,RSP,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131771,RSP,2021-05-20T15:56:55,23,34,4,0,61,AGAINST,34,0.4426229508196722
EPP,131771,RSP,2021-05-20T15:56:55,175,0,0,3,175,FOR,175,0.0
GUE/NGL,131771,RSP,2021-05-20T15:56:55,37,0,0,2,37,FOR,37,0.0
Greens/EFA,131771,RSP,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131771,RSP,2021-05-20T15:56:55,33,1,38,1,72,ABSTENTION,38,0.4722222222222222
Non-attached,131771,RSP,2021-05-20T15:56:55,22,0,14,1,36,FOR,22,0.38888888888888884
Renew,131771,RSP,2021-05-20T15:56:55,96,0,0,2,96,FOR,96,0.0
S&D,131771,RSP,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131772,APP,2021-05-20T15:56:55,1,55,4,1,60,AGAINST,55,0.08333333333333337
EPP,131772,APP,2021-05-20T15:56:55,167,0,8,3,175,FOR,167,0.04571428571428571
GUE/NGL,131772,APP,2021-05-20T15:56:55,33,2,2,2,37,FOR,33,0.10810810810810811
Greens/EFA,131772,APP,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131772,APP,2021-05-20T15:56:55,0,70,2,1,72,AGAINST,70,0.02777777777777779
Non-attached,131772,APP,2021-05-20T15:56:55,16,18,1,2,35,AGAINST,18,0.48571428571428577
Renew,131772,APP,2021-05-20T15:56:55,96,0,0,2,96,FOR,96,0.0
S&D,131772,APP,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131773,INI,2021-05-20T15:56:55,0,46,15,0,61,AGAINST,46,0.24590163934426235
EPP,131773,INI,2021-05-20T15:56:55,175,0,0,3,175,FOR,175,0.0
GUE/NGL,131773,INI,2021-05-20T15:56:55,37,0,0,2,37,FOR,37,0.0
Greens/EFA,131773,INI,2021-05-20T15:56:55,73,0,0,0,73,FOR,73,0.0
ID,131773,INI,2021-05-20T15:56:55,1,70,1,1,72,AGAINST,70,0.02777777777777779
Non-attached,131773,INI,2021-05-20T15:56:55,16,5,15,1,36,FOR,16,0.5555555555555556
Renew,131773,INI,2021-05-20T15:56:55,91,0,5,2,96,FOR,91,0.05208333333333337
S&D,131773,INI,2021-05-20T15:56:55,143,0,0,3,143,FOR,143,0.0
ECR,131774,INI,2021-05-20T15:56:55,0,59,2,0,61,AGAINST,59,0.032786885245901676
EPP,131774,INI,2021-05-20T15:56:55,160,6,9,3,175,FOR,160,0.08571428571428574
GUE/NGL,131774,INI,2021-05-20T15:56:55,31,1,5,2,37,FOR,31,0.16216216216216217
Greens/EFA,131774,INI,2021-05-20T15:56:55,72,0,1,0,73,FOR,72,0.013698630136986356
ID,131774,INI,2021-05-20T15:56:55,0,72,0,1,72,AGAINST,72,0.0
Non-attached,131774,INI,2021-05-20T15:56:55,15,18,3,1,36,AGAINST,18,0.5
Renew,131774,INI,2021-05-20T15:56:55,86,4,6,2,96,FOR,86,0.10416666666666663
S&D,131774,INI,2021-05-20T15:56:55,131,3,6,6,140,FOR,131,0.06428571428571428
ECR,131775,INI,2021-05-20T15:56:55,49,4,8,0,61,FOR,49,0.19672131147540983
EPP,131775,INI,2021-05-20T15:56:55,160,0,15,3,175,FOR,160,0.08571428571428574
GUE/NGL,131775,INI,2021-05-20T15:56:55,25,4,8,2,37,FOR,25,0.32432432432432434
Greens/EFA,131775,INI,2021-05-20T15:56:55,1,5,67,0,73,ABSTENTION,67,0.0821917808219178
ID,131775,INI,2021-05-20T15:56:55,69,2,1,1,72,FOR,69,0.04166666666666663
Non-attached,131775,INI,2021-05-20T15:56:55,32,2,2,1,36,FOR,32,0.11111111111111116
Renew,131775,INI,2021-05-20T15:56:55,93,0,3,2,96,FOR,93,0.03125
S&D,131775,INI,2021-05-20T15:56:55,142,0,1,3,143,FOR,142,0.006993006993006978
ECR,131782,RSP,2021-05-21T12:06:26,2,56,1,2,59,AGAINST,56,0.05084745762711862
EPP,131782,RSP,2021-05-21T12:06:26,6,166,1,5,173,AGAINST,166,0.040462427745664775
GUE/NGL,131782,RSP,2021-05-21T12:06:26,36,0,1,2,37,FOR,36,0.027027027027026973
Greens/EFA,131782,RSP,2021-05-21T12:06:26,71,0,0,2,71,FOR,71,0.0
ID,131782,RSP,2021-05-21T12:06:26,4,68,0,1,72,AGAINST,68,0.05555555555555558
Non-attached,131782,RSP,2021-05-21T12:06:26,16,14,4,3,34,FOR,16,0.5294117647058824
Renew,131782,RSP,2021-05-21T12:06:26,81,6,11,0,98,FOR,81,0.173469387755102
S&D,131782,RSP,2021-05-21T12:06:26,128,1,10,7,139,FOR,128,0.07913669064748197
ECR,132415,COD,2021-06-08T15:24:57,61,0,0,0,61,FOR,61,0.0
EPP,132415,COD,2021-06-08T15:24:57,176,0,0,2,176,FOR,176,0.0
GUE/NGL,132415,COD,2021-06-08T15:24:57,0,37,1,1,38,AGAINST,37,0.02631578947368418
Greens/EFA,132415,COD,2021-06-08T15:24:57,0,72,0,1,72,AGAINST,72,0.0
ID,132415,COD,2021-06-08T15:24:57,69,2,0,1,71,FOR,69,0.028169014084507005
Non-attached,132415,COD,2021-06-08T15:24:57,30,7,1,0,38,FOR,30,0.21052631578947367
Renew,132415,COD,2021-06-08T15:24:57,96,0,2,0,98,FOR,96,0.020408163265306145
S&D,132415,COD,2021-06-08T15:24:57,9,1,132,4,142,ABSTENTION,132,0.07042253521126762
ECR,132417,INI,2021-06-08T22:21:23,25,30,5,1,60,AGAINST,30,0.5
EPP,132417,INI,2021-06-08T22:21:23,173,0,1,4,174,FOR,173,0.005747126436781658
GUE/NGL,132417,INI,2021-06-08T22:21:23,0,38,1,0,39,AGAINST,38,0.02564102564102566
Greens/EFA,132417,INI,2021-06-08T22:21:23,69,0,0,4,69,FOR,69,0.0
ID,132417,INI,2021-06-08T22:21:23,0,44,25,3,69,AGAINST,44,0.3623188405797102
Non-attached,132417,INI,2021-06-08T22:21:23,11,3,24,0,38,ABSTENTION,24,0.368421052631579
Renew,132417,INI,2021-06-08T22:21:23,86,0,12,0,98,FOR,86,0.12244897959183676
S&D,132417,INI,2021-06-08T22:21:23,144,0,0,2,144,FOR,144,0.0
ECR,132419,INI,2021-06-08T22:21:23,19,36,5,1,60,AGAINST,36,0.4
EPP,132419,INI,2021-06-08T22:21:23,149,20,5,4,174,FOR,149,0.14367816091954022
GUE/NGL,132419,INI,2021-06-08T22:21:23,39,0,0,0,39,FOR,39,0.0
Greens/EFA,132419,INI,2021-06-08T22:21:23,69,0,0,4,69,FOR,69,0.0
ID,132419,INI,2021-06-08T22:21:23,1,16,52,3,69,ABSTENTION,52,0.24637681159420288
Non-attached,132419,INI,2021-06-08T22:21:23,20,3,15,0,38,FOR,20,0.4736842105263158
Renew,132419,INI,2021-06-08T22:21:23,75,15,8,0,98,FOR,75,0.23469387755102045
S&D,132419,INI,2021-06-08T22:21:23,143,0,1,2,144,FOR,143,0.00694444444444442
ECR,133545,INI,2021-06-08T22:21:23,2,45,13,1,60,AGAINST,45,0.25
EPP,133545,INI,2021-06-08T22:21:23,30,6,135,7,171,ABSTENTION,135,0.21052631578947367
GUE/NGL,133545,INI,2021-06-08T22:21:23,39,0,0,0,39,FOR,39,0.0
Greens/EFA,133545,INI,2021-06-08T22:21:23,69,0,0,4,69,FOR,69,0.0
ID,133545,INI,2021-06-08T22:21:23,0,16,53,3,69,ABSTENTION,53,0.23188405797101452
Non-attached,133545,INI,2021-06-08T22:21:23,16,15,7,0,38,FOR,16,0.5789473684210527
Renew,133545,INI,2021-06-08T22:21:23,94,0,4,0,98,FOR,94,0.04081632653061229
S&D,133545,INI,2021-06-08T22:21:23,140,0,0,6,140,FOR,140,0.0
ECR,133727,RSP,2021-06-09T22:22:22,29,1,30,1,60,ABSTENTION,30,0.5
EPP,133727,RSP,2021-06-09T22:22:22,172,2,0,4,174,FOR,172,0.011494252873563204
GUE/NGL,133727,RSP,2021-06-09T22:22:22,36,0,3,0,39,FOR,36,0.07692307692307687
Greens/EFA,133727,RSP,2021-06-09T22:22:22,70,0,0,3,70,FOR,70,0.0
ID,133727,RSP,2021-06-09T22:22:22,12,5,52,3,69,ABSTENTION,52,0.24637681159420288
Non-attached,133727,RSP,2021-06-09T22:22:22,21,14,3,0,38,FOR,21,0.4473684210526315
Renew,133727,RSP,2021-06-09T22:22:22,26,7,65,0,98,ABSTENTION,65,0.33673469387755106
S&D,133727,RSP,2021-06-09T22:22:22,139,1,2,4,142,FOR,139,0.021126760563380254
ECR,133728,RSP,2021-06-09T22:22:22,27,18,15,1,60,FOR,27,0.55
EPP,133728,RSP,2021-06-09T22:22:22,16,143,14,5,173,AGAINST,143,0.17341040462427748
GUE/NGL,133728,RSP,2021-06-09T22:22:22,39,0,0,0,39,FOR,39,0.0
Greens/EFA,133728,RSP,2021-06-09T22:22:22,69,0,1,3,70,FOR,69,0.014285714285714235
ID,133728,RSP,2021-06-09T22:22:22,2,41,25,4,68,AGAINST,41,0.3970588235294118
Non-attached,133728,RSP,2021-06-09T22:22:22,15,17,6,0,38,AGAINST,17,0.5526315789473684
Renew,133728,RSP,2021-06-09T22:22:22,47,44,7,0,98,FOR,47,0.5204081632653061
S&D,133728,RSP,2021-06-09T22:22:22,140,0,3,3,143,FOR,140,0.020979020979020935
ECR,133729,RSP,2021-06-09T22:22:22,9,43,7,2,59,AGAINST,43,0.27118644067796616
EPP,133729,RSP,2021-06-09T22:22:22,36,133,6,3,175,AGAINST,133,0.24
GUE/NGL,133729,RSP,2021-06-09T22:22:22,39,0,0,0,39,FOR,39,0.0
Greens/EFA,133729,RSP,2021-06-09T22:22:22,70,0,0,3,70,FOR,70,0.0
ID,133729,RSP,2021-06-09T22:22:22,57,12,0,3,69,FOR,57,0.17391304347826086
Non-attached,133729,RSP,2021-06-09T22:22:22,24,13,1,0,38,FOR,24,0.368421052631579
Renew,133729,RSP,2021-06-09T22:22:22,67,30,1,0,98,FOR,67,0.3163265306122449
S&D,133729,RSP,2021-06-09T22:22:22,139,1,3,3,143,FOR,139,0.027972027972028024
ECR,133730,RSP,2021-06-09T22:22:22,1,53,5,2,59,AGAINST,53,0.10169491525423724
EPP,133730,RSP,2021-06-09T22:22:22,36,126,13,3,175,AGAINST,126,0.28
GUE/NGL,133730,RSP,2021-06-09T22:22:22,39,0,0,0,39,FOR,39,0.0
Greens/EFA,133730,RSP,2021-06-09T22:22:22,70,0,0,3,70,FOR,70,0.0
ID,133730,RSP,2021-06-09T22:22:22,57,12,0,3,69,FOR,57,0.17391304347826086
Non-attached,133730,RSP,2021-06-09T22:22:22,23,14,1,0,38,FOR,23,0.39473684210526316
Renew,133730,RSP,2021-06-09T22:22:22,69,24,5,0,98,FOR,69,0.29591836734693877
S&D,133730,RSP,2021-06-09T22:22:22,139,1,3,3,143,FOR,139,0.027972027972028024
ECR,133930,RSP,2021-06-10T15:55:25,3,0,56,2,59,ABSTENTION,56,0.05084745762711862
EPP,133930,RSP,2021-06-10T15:55:25,122,17,27,12,166,FOR,122,0.2650602409638554
GUE/NGL,133930,RSP,2021-06-10T15:55:25,11,9,19,0,39,ABSTENTION,19,0.5128205128205128
Greens/EFA,133930,RSP,2021-06-10T15:55:25,67,0,5,1,72,FOR,67,0.06944444444444442
ID,133930,RSP,2021-06-10T15:55:25,0,38,31,3,69,AGAINST,38,0.4492753623188406
Non-attached,133930,RSP,2021-06-10T15:55:25,13,2,22,1,37,ABSTENTION,22,0.4054054054054054
Renew,133930,RSP,2021-06-10T15:55:25,48,18,32,0,98,FOR,48,0.5102040816326531
S&D,133930,RSP,2021-06-10T15:55:25,133,1,4,8,138,FOR,133,0.036231884057971064
ECR,133931,RSP,2021-06-10T15:55:25,56,0,3,2,59,FOR,56,0.05084745762711862
EPP,133931,RSP,2021-06-10T15:55:25,169,1,0,8,170,FOR,169,0.00588235294117645
GUE/NGL,133931,RSP,2021-06-10T15:55:25,37,0,2,0,39,FOR,37,0.05128205128205132
Greens/EFA,133931,RSP,2021-06-10T15:55:25,72,0,0,1,72,FOR,72,0.0
ID,133931,RSP,2021-06-10T15:55:25,26,13,30,3,69,ABSTENTION,30,0.5652173913043479
Non-attached,133931,RSP,2021-06-10T15:55:25,31,1,5,1,37,FOR,31,0.16216216216216217
Renew,133931,RSP,2021-06-10T15:55:25,98,0,0,0,98,FOR,98,0.0
S&D,133931,RSP,2021-06-10T15:55:25,139,0,0,7,139,FOR,139,0.0
ECR,133932,RSP,2021-06-10T15:55:25,50,1,8,2,59,FOR,50,0.15254237288135597
EPP,133932,RSP,2021-06-10T15:55:25,166,0,3,9,169,FOR,166,0.017751479289940808
GUE/NGL,133932,RSP,2021-06-10T15:55:25,10,15,14,0,39,AGAINST,15,0.6153846153846154
Greens/EFA,133932,RSP,2021-06-10T15:55:25,71,1,0,1,72,FOR,71,0.01388888888888884
ID,133932,RSP,2021-06-10T15:55:25,30,36,3,3,69,AGAINST,36,0.4782608695652174
Non-attached,133932,RSP,2021-06-10T15:55:25,14,8,2,14,24,FOR,14,0.41666666666666663
Renew,133932,RSP,2021-06-10T15:55:25,97,0,1,0,98,FOR,97,0.010204081632653073
S&D,133932,RSP,2021-06-10T15:55:25,126,0,6,14,132,FOR,126,0.045454545454545414
ECR,133933,RSP,2021-06-10T15:55:25,59,0,0,2,59,FOR,59,0.0
EPP,133933,RSP,2021-06-10T15:55:25,170,0,0,8,170,FOR,170,0.0
GUE/NGL,133933,RSP,2021-06-10T15:55:25,0,39,0,0,39,AGAINST,39,0.0
Greens/EFA,133933,RSP,2021-06-10T15:55:25,3,69,0,1,72,AGAINST,69,0.04166666666666663
ID,133933,RSP,2021-06-10T15:55:25,46,1,21,4,68,FOR,46,0.32352941176470584
Non-attached,133933,RSP,2021-06-10T15:55:25,19,12,6,1,37,FOR,19,0.4864864864864865
Renew,133933,RSP,2021-06-10T15:55:25,77,0,21,0,98,FOR,77,0.2142857142857143
S&D,133933,RSP,2021-06-10T15:55:25,12,115,11,8,138,AGAINST,115,0.16666666666666663
ECR,133934,RSP,2021-06-10T15:55:25,58,0,1,2,59,FOR,58,0.016949152542372836
EPP,133934,RSP,2021-06-10T15:55:25,169,0,0,9,169,FOR,169,0.0
GUE/NGL,133934,RSP,2021-06-10T15:55:25,17,9,13,0,39,FOR,17,0.5641025641025641
Greens/EFA,133934,RSP,2021-06-10T15:55:25,71,1,0,1,72,FOR,71,0.01388888888888884
ID,133934,RSP,2021-06-10T15:55:25,53,2,14,3,69,FOR,53,0.23188405797101452
Non-attached,133934,RSP,2021-06-10T15:55:25,27,4,5,2,36,FOR,27,0.25
Renew,133934,RSP,2021-06-10T15:55:25,97,0,1,0,98,FOR,97,0.010204081632653073
S&D,133934,RSP,2021-06-10T15:55:25,134,0,2,10,136,FOR,134,0.014705882352941124
ECR,133935,RSP,2021-06-10T15:55:25,54,0,5,2,59,FOR,54,0.0847457627118644
EPP,133935,RSP,2021-06-10T15:55:25,170,0,0,8,170,FOR,170,0.0
GUE/NGL,133935,RSP,2021-06-10T15:55:25,2,17,20,0,39,ABSTENTION,20,0.4871794871794872
Greens/EFA,133935,RSP,2021-06-10T15:55:25,71,1,0,1,72,FOR,71,0.01388888888888884
ID,133935,RSP,2021-06-10T15:55:25,47,11,11,3,69,FOR,47,0.3188405797101449
Non-attached,133935,RSP,2021-06-10T15:55:25,29,5,3,1,37,FOR,29,0.21621621621621623
Renew,133935,RSP,2021-06-10T15:55:25,98,0,0,0,98,FOR,98,0.0
S&D,133935,RSP,2021-06-10T15:55:25,139,0,0,7,139,FOR,139,0.0
ECR,133936,RSP,2021-06-10T15:55:25,35,8,16,2,59,FOR,35,0.4067796610169492
EPP,133936,RSP,2021-06-10T15:55:25,152,15,2,9,169,FOR,152,0.10059171597633132
GUE/NGL,133936,RSP,2021-06-10T15:55:25,37,0,2,0,39,FOR,37,0.05128205128205132
Greens/EFA,133936,RSP,2021-06-10T15:55:25,72,0,0,1,72,FOR,72,0.0
ID,133936,RSP,2021-06-10T15:55:25,22,1,45,4,68,ABSTENTION,45,0.3382352941176471
Non-attached,133936,RSP,2021-06-10T15:55:25,19,13,5,1,37,FOR,19,0.4864864864864865
Renew,133936,RSP,2021-06-10T15:55:25,84,0,14,0,98,FOR,84,0.1428571428571429
S&D,133936,RSP,2021-06-10T15:55:25,137,0,1,8,138,FOR,137,0.007246376811594235
ECR,133937,INI,2021-06-10T15:55:25,4,13,42,2,59,ABSTENTION,42,0.288135593220339
EPP,133937,INI,2021-06-10T15:55:25,160,1,8,9,169,FOR,160,0.053254437869822535
GUE/NGL,133937,INI,2021-06-10T15:55:25,39,0,0,0,39,FOR,39,0.0
Greens/EFA,133937,INI,2021-06-10T15:55:25,69,0,3,1,72,FOR,69,0.04166666666666663
ID,133937,INI,2021-06-10T15:55:25,26,17,26,3,69,FOR,26,0.6231884057971014
Non-attached,133937,INI,2021-06-10T15:55:25,18,4,15,1,37,FOR,18,0.5135135135135135
Renew,133937,INI,2021-06-10T15:55:25,92,0,6,0,98,FOR,92,0.061224489795918324
S&D,133937,INI,2021-06-10T15:55:25,138,0,0,8,138,FOR,138,0.0
ECR,133938,RSP,2021-06-10T15:55:25,46,11,2,2,59,FOR,46,0.22033898305084743
EPP,133938,RSP,2021-06-10T15:55:25,167,3,0,8,170,FOR,167,0.01764705882352946
GUE/NGL,133938,RSP,2021-06-10T15:55:25,37,2,0,0,39,FOR,37,0.05128205128205132
Greens/EFA,133938,RSP,2021-06-10T15:55:25,71,1,0,1,72,FOR,71,0.01388888888888884
ID,133938,RSP,2021-06-10T15:55:25,0,69,0,3,69,AGAINST,69,0.0
